dateTime,separation (km)
2015-02-01 00:00:00,4.4233477089286515
2015-02-02 00:00:00,16.417354633941706
2015-02-03 00:00:00,11.681024271580775
2015-02-04 00:00:00,34.14863369287132
2015-02-05 00:00:00,50.3441033095005
2015-02-06 00:00:00,54.82522295566508
2015-02-07 00:00:00,68.74120760181634
2015-02-08 00:00:00,81.54023432626819
2015-02-09 00:00:00,97.05878094152125
2015-02-10 00:00:00,109.6886640284519
2015-02-11 00:00:00,122.89260273149917
2015-02-12 00:00:00,136.1357617154788
2015-02-13 00:00:00,150.07797613887803
2015-02-14 00:00:00,161.69953649991865
2015-02-15 00:00:00,173.67133715004846
2015-02-16 00:00:00,185.10743112932892
2015-02-17 00:00:00,196.01556294077156
2015-02-18 00:00:00,305.9247272520371
2015-02-19 00:00:00,217.8935075393118
2015-02-20 00:00:00,227.52192671198608
2015-02-21 00:00:00,236.72427955168016
2015-02-22 00:00:00,247.302649295016
2015-02-23 00:00:00,257.3982852894452
2015-02-24 00:00:00,267.98919749701565
2015-02-25 00:00:00,279.34979901454034
2015-02-26 00:00:00,291.22258640037785
2015-02-27 00:00:00,303.28126788048667
2015-02-28 00:00:00,316.38859034936695
2015-03-01 00:00:00,327.0536552665938
2015-03-02 00:00:00,342.6305886651337
2015-03-03 00:00:00,355.26829093789445
2015-03-04 00:00:00,370.5516482736353
2015-03-05 00:00:00,378.01482457891234
2015-03-06 00:00:00,388.5638871065904
2015-03-07 00:00:00,396.4732263771579
2015-03-08 00:00:00,402.2431874608604
2015-03-09 00:00:00,411.1270869891939
2015-03-10 00:00:00,417.58429914142073
2015-03-11 00:00:00,425.050626188321
2015-03-12 00:00:00,431.51229375332747
2015-03-13 00:00:00,439.4942144936004
2015-03-14 00:00:00,448.5595929487974
2015-03-15 00:00:00,459.4583791420528
2015-03-16 00:00:00,471.1063112429895
2015-03-17 00:00:00,484.54908227872437
2015-03-18 00:00:00,497.8496008796143
2015-03-19 00:00:00,522.8312803971763
2015-03-20 00:00:00,529.0483468902586
2015-03-21 00:00:00,546.8986765968473
2015-03-22 00:00:00,561.9982926198744
2015-03-23 00:00:00,577.6410751112254
2015-03-24 00:00:00,590.5409694028898
2015-03-25 00:00:00,594.4655915894265
2015-03-26 00:00:00,600.0097105720698
2015-03-27 00:00:00,603.8897315148417
2015-03-28 00:00:00,605.6601254156681
2015-03-29 00:00:00,608.9553067235321
2015-03-30 00:00:00,610.508710996019
2015-03-31 00:00:00,613.9547788288447
2015-04-01 00:00:00,620.9646164457587
2015-04-02 00:00:00,629.4857268647933
2015-04-03 00:00:00,641.4297923913404
2015-04-04 00:00:00,655.9839523913078
2015-04-05 00:00:00,672.9869545506406
2015-04-06 00:00:00,693.0033669841998
2015-04-07 00:00:00,713.1420621466533
2015-04-08 00:00:00,734.054856515482
2015-04-09 00:00:00,752.3742327249873
2015-04-10 00:00:00,767.5888036112517
2015-04-11 00:00:00,778.0926815189903
2015-04-12 00:00:00,784.8336619230598
2015-04-13 00:00:00,783.4563728135136
2015-04-14 00:00:00,783.2944337810981
2015-04-15 00:00:00,780.1470738779597
2015-04-16 00:00:00,777.3825920573614
2015-04-17 00:00:00,774.8429660057601
2015-04-18 00:00:00,775.8023725176253
2015-04-19 00:00:00,776.0817122836651
2015-04-20 00:00:00,788.1308506334759
2015-04-21 00:00:00,803.5904383018275
2015-04-22 00:00:00,821.9625214204106
2015-04-23 00:00:00,847.4495344770161
2015-04-24 00:00:00,870.1058758123495
2015-04-25 00:00:00,889.5932796307161
2015-04-26 00:00:00,908.8302198765965
2015-04-27 00:00:00,923.2287975051205
2015-04-28 00:00:00,932.4445630511556
2015-04-29 00:00:00,933.9372259045532
2015-04-30 00:00:00,927.8065553847858
2015-05-01 00:00:00,920.0230882795543
2015-05-02 00:00:00,912.8475526942823
2015-05-03 00:00:00,908.6065904041744
2015-05-04 00:00:00,906.9579102150315
2015-05-05 00:00:00,912.0379791929973
2015-05-06 00:00:00,920.9142205529403
2015-05-07 00:00:00,936.455690376145
2015-05-08 00:00:00,956.9853896826041
2015-05-09 00:00:00,983.665104567376
2015-05-10 00:00:00,1007.1332238292274
2015-05-11 00:00:00,1028.3037706543892
2015-05-12 00:00:00,1043.4853775312272
2015-05-13 00:00:00,1051.0374183829695
2015-05-14 00:00:00,1052.4408322900035
2015-05-15 00:00:00,1052.2038928655227
2015-05-16 00:00:00,1042.7922651319132
2015-05-17 00:00:00,1029.2336180709842
2015-05-18 00:00:00,1027.179141129149
2015-05-19 00:00:00,1024.2836844738802
2015-05-20 00:00:00,1033.0355704901415
2015-05-21 00:00:00,1045.6915294716966
2015-05-22 00:00:00,1063.5628618023054
2015-05-23 00:00:00,1084.041066793817
2015-05-24 00:00:00,1107.7490142237348
2015-05-25 00:00:00,1129.0071617580147
2015-05-26 00:00:00,1146.6630958160122
2015-05-27 00:00:00,1152.6369168357494
2015-05-28 00:00:00,1153.765138795523
2015-05-29 00:00:00,1150.4740827210135
2015-05-30 00:00:00,1146.1603119343454
2015-05-31 00:00:00,1143.306178642149
2015-06-01 00:00:00,1140.7868049885174
2015-06-02 00:00:00,1143.6203950545028
2015-06-03 00:00:00,1153.3212428201628
2015-06-04 00:00:00,1168.887930389263
2015-06-05 00:00:00,1188.2027485652607
2015-06-06 00:00:00,1208.0770573948578
2015-06-07 00:00:00,1225.1715943850447
2015-06-08 00:00:00,1238.3279849394007
2015-06-09 00:00:00,1249.3467027631327
2015-06-10 00:00:00,1253.492562769389
2015-06-11 00:00:00,1251.4646940231025
