start, end
2/1/96T15:07:12, 2/1/96T19:15:00
2/13/96T13:34:32, 2/14/96T19:30:00
2/14/96T20:30:50, 2/16/96T18:00:00
3/5/96T15:25:08, 3/8/96T17:45:00
5/8/96T13:33:00, 8/19/96T00:00:00
8/26/96T8:53:00, 11/6/97T13:26:20
11/17/97T12:26:20, 12/18/97T13:08:01
1/14/98T12:45:00, 4/21/98T15:08:01
4/28/98T16:08:45, 5/7/98T15:05:09
12/17/99T20:10:00, 12/25/99T20:20:00
12/28/99T23:30:00, 2/2/00T20:05:00
